Word,label
العنوان,X
تبعي,X
عايزة,X
اعرف,X
الاوردر,X
فاضله,X
اد,X
ايه,X
بليز,X
فيك,X
تغيرلي,X
رقم,X
الموبايل,X
عايزة,X
امسح,X
عنوان,X
البيت,X
بدي,X
امسح,X
العنوان,X
المسجل,X
كان,X
بدي,X
اضيف,X
عنوان,X
ايه,X
المشاكل,X
فى,X
الاوردر,X
موصلش,X
لحد,X
دلوقتى,X
راح,X
اطلبها,X
صغيرة,ItemSize
بدي,X
غير,X
هدي,X
اللغة,X
بدي,X
اعرف,X
متى,X
بتجي,X
ساعات,X
الدوام,X
ليش,X
عطلان,X
الأوردر,X
عايز,X
اتكلم,X
مع,X
انسان,X
الغيلي,X
وجبة,ItemName
الكوردن,ItemName
بلو,ItemName
بدي,X
غير,X
المحل,X
تبعي,X
اذا,X
بتريد,X
عاوز,X
اشوف,X
الاوردر,X
المعتاد,X
فرجيني,X
توتال,X
الطلبات,X
لو,X
تكرمت,X
من,X
فضلك,X
تغير,X
رقم,X
موبايلي,X
الى,X
01552687474,phone
عايزة,X
الاوردرات,X
القديمة,X
كان,X
بدي,X
غير,X
لغة,X
التواصل,X
لك,X
قديش,X
وقت,X
بياخد,X
عايز,X
اشوف,X
الأكل,X
الموجود,X
فيك,X
تفرجيني,X
القائمة,X
المفضلة,X
تبعي,X
هضيف,X
وجبة,ItemName
ليتل,ItemName
تيستي,ItemName
ممكن,X
استرجع,X
الاوردرات,X
الي,X
طلبتها,X
قبل,X
كدا,X
لو,X
سمحت,X
سميك,X
عايزة,X
3,itemnumber
بيبيروني,ItemName
بيتزا,MenuName
عايزة,X
فراخ,ItemName
بروستد,ItemName
كومبو,X
شنو,X
يعني,X
هالجملة,X
بالعربي,Language
عايزه,X
حجمه,X
متوسط,ItemSize
لو,X
سمحت,X
وريني,X
كدا,X
كل,X
الاوردر,X
بدي,X
شيل,X
العنوان,X
تبعي,X
هاخد,X
2,itemnumber
كوردن,PredefinedMealName
بلو,PredefinedMealName
نراجع,X
الاوردر,X
ممكن,X
تقولي,X
الاوردر,X
وصل,X
لحد,X
فين,X
عايزها,X
كبيرة,ItemSize
فيك,X
تغيرلي,X
اللغة,X
بليز,X
بدياك,X
تطلعنى,X
على,X
الاوردر,X
رقم,X
8896,OrderNumber
لانه,X
ماوصل,X
للحين,X
فيك,X
تفرجيني,X
قائمة,X
الطعام,X
تبعكن,X
فيك,X
تبعتلي,X
قائمة,X
السندوتشات,MenuName
اذا,X
بتريد,X
بطا,X
الاوردر,X
اهوا,X
فى,X
القاء,X
نظره,X
على,X
الاشياء,X
التى,X
طلبتها,X
ممكن,X
اروح,X
على,X
القائمة,X
الرئيسية,X
حدثلى,X
رقم,X
هاتفى,X
للرقم,X
015248575,phone
لو,X
سمحت,X
اعملي,X
حذف,X
للرقم,X
ده,X
45454444,phone
عشان,X
هضيف,X
رقم,X
تاني,X
لو,X
سمحت,X
عايزة,X
اعرف,X
اسجل,X
بياناتي,X
ازاي,X
عايز,X
القائمة,X
السابقة,X
عايز,X
اغير,X
عنواني,X
ابي,X
الفاتورة,X
يا,X
اخي,X
اذا,X
بتريد,X
فرجينى,X
الاشيا,X
اللى,X
طلبتها,X
تحديد,X
اللغة,X
العربية,Language
صرت,X
بدي,X
الغي,X
وجبة,ItemName
التشيكن,ItemName
تندر,ItemName
ابغى,X
اسوي,X
اوردر,X
عايزة,X
حجمه,X
صغير,ItemSize
من,X
فضلك,X
عاوز,X
اطلب,X
3,itemnumber
ساندوتشات,ItemName
شاورمة,ItemName
فراخ,ItemName
وضيف,Include
تومية,Topping_Include
اذا,X
فيك,X
تبعتلي,X
الاكل,X
المفضل,X
تبعي,X
بلكي,X
اسأل,X
عن,X
شي,X
عايزة,X
اغير,X
لغة,X
التواصل,X
يعطيك,X
العافية,X
ارسلي,X
المنيو,X
عايزة,X
اشوف,X
الطلبات,X
السابقة,X
حابب,X
اتواصل,X
مع,X
ممثل,X
خدمة,X
عملا,X
فيك,X
تعرضلي,X
الاكل,X
المفضل,X
تبعي,X
ابي,X
اضيف,X
رقم,X
اخر,X
قديش,X
بياخد,X
وقت,X
ممكن,X
اتواصل,X
مع,X
حد,X
من,X
خدمة,X
العملاء,X
في,X
طريقة,X
اغير,X
بيها,X
رقمي,X
يعطيك,X
العافية,X
ارسلي,X
قائمة,X
الطعام,X
ارغب,X
في,X
تغيير,X
عنوان,X
البيت,X
بغيت,X
اعرف,X
وين,X
الحل,X
هاي,X
ممكن,X
اسجل,X
عنوان,X
البيت,X
اتوق,X
لمعرفه,X
مكان,X
الطلبات,X
اللى,X
انا,X
طلبتها,X
فيني,X
اطلع,X
على,X
القائمة,X
المفضلة,X
تبعي,X
شو,X
عامل,X
من,X
فضلك,X
اعطني,X
الفاتورة,X
من,X
فضلك,X
اذا,X
فيك,X
تخليني,X
سجل,X
عنواني,X
بدياك,X
تفرجيني,X
قائمة,X
الطلبات,X
السابقة,X
ابغى,X
حبتين,itemnumber
دجاج,ItemName
مع,Include
مسحب,Topping_Include
ابي,Include
ارز,Topping_Include
مو,Exclude
خضار,Topping_Exclude
بدى,X
منك,X
تبد,X
لى,X
اللغه,X
للانكليزيه,Language
خاطر,X
ع,X
بالى,X
تغيرلى,X
رقم,X
الفون,X
للرقم,X
094390403,phone
عايزها,X
صغيرة,ItemSize
هلأ,X
فيني,X
شوف,X
الطلبات,X
السابقة,X
عطلان,X
بشي,X
مشكلة,X
الحساب,X
كدا,X
كام,X
خليني,X
شوف,X
ايه,X
الموجود,X
اذا,X
بتريد,X
داعبالى,X
تحويل,X
مكان,X
اقامتى,X
وصلني,X
للقائمة,X
الرئيسية,X
من,X
فضلك,X
عايز,X
القائمة,X
الرئيسية,X
عايز,X
ساندوتش,ItemName
ابي,X
اسال,X
شي,X
حطلي,X
كمان,X
ساندوتش,ItemName
فراخ,ItemName
عايز,X
حجمها,X
كبير,ItemSize
من,X
فضلك,X
انا,X
احتاج,X
2,itemnumber
بيتزا,ItemName
كبيرة,ItemSize
بدون,Exclude
طماطم,Topping_Exclude
و,X
لكن,X
اضف,Include
لها,X
المزيد,X
من,X
جبنة,Topping_Include
البارميزان,Topping_Include
هبعتلك,X
رقمي,X
الجديد,X
عشان,X
تعمله,X
تحديث,X
محتاجة,X
اشوف,X
الاوردر,X
تاني,X
ابا,X
عدل,X
العنوان,X
بيف,ItemName
برجر,ItemName
ساندوتش,ItemName
معاه,Include
اكسترا,Include
مستردة,Topping_Include
بدي,X
ضيف,X
العنوان,X
الحين,X
عايز,X
ارجع,X
لقائمة,X
تغيير,X
البيانات,X
عاوز,X
اعرف,X
الاوردر,X
بيوصل,X
في,X
قد,X
ايه,X
كنت,X
عايزه,X
الحجم,X
الوسط,ItemSize
عنواني,X
اصبح,X
مختلف,X
الأن,X
اهو,X
3,itemnumber
برجر,ItemName
ايه,X
الاكل,X
المفضل,X
عندى,X
عطيني,X
قائمة,X
الاوردر,X
يلي,X
طلبته,X
ممكن,X
تديني,X
الحساب,X
اذا,X
فيك,X
اعطني,X
الشيك,X
انا,X
عايز,X
اشوف,X
منيو,X
وجبات,X
الاطفال,X
في,X
ماك,X
عايزة,X
اشوف,X
الطلبات,X
المسجلة,X
بدي,X
اختار,X
اللغة,X
الفرنسية,Language
اذا,X
بدك,X
تفرجيني,X
القائمة,X
المفضلة,X
تبعي,X
5,ItemName
ساندوتشات,ItemName
شاورما,ItemName
لحمة,X
كبير,ItemSize
بدون,Exclude
جبن,Topping_Exclude
ابا,X
شوف,X
المنيو,X
ابغا,X
الفاتوره,X
اذا,X
شمحت,X
عايز,X
اضيف,X
منطقة,X
سكني,X
طلبي,X
اتاخر,X
حابة,X
استفسر,X
عن,X
حاجة,X
ممكن,X
تساعدني,X
ابغا,X
اتطلع,X
على,X
الطلب,X
رقم,X
8833,OrderNumber
لو,X
سمحت,X
لو,X
عايزة,X
اغير,X
نمرتي,X
للنمرة,X
دي,X
05049144444,phone
ازاي,X
وش,X
الحل,X
عطيني,X
قائمة,X
الطلبات,X
يلي,X
طلبتها,X
لو,X
سمحت,X
عايز,X
الغي,X
عنواني,X
قداي,X
بياخد,X
الأكل,X
امسح,X
العنوان,X
عايز,X
كرانشي,ItemName
تشيكن,ItemName
كبير,ItemSize
من,X
فضلك,X
داير,X
اسألك,X
عا,X
شي,X
حضرولي,X
طبق,X
سلطة,ItemName
كبير,ItemSize
منغير,Exclude
بصل,Topping_Exclude
كان,X
بدي,X
اتواصل,X
باللغة,X
الانجليزية,Language
هلأ,X
بدي,X
احذف,X
العنوان,X
اذا,X
بتريد,X
ممكن,X
اراجع,X
على,X
الاوردر,X
من,X
الاول,X
متورينى,X
مكان,X
الاوردر,X
كدا,X
عايزة,X
اعدل,X
عنوان,X
بيتي,X
متقولى,X
ازاى,X
اتكلم,X
مع,X
الخدمه,X
من,X
فضلك,X
عايز,X
احذف,X
وجبة,ItemName
الدويتو,ItemName
ممكن,X
اعرف,X
اسجل,X
بياناتي,X
ازاي,X
منيو,X
مشروبات,X
كوستا,X
ابكم,X
الحساب,X
ياريت,X
توصلني,X
بحد,X
من,X
خدمة,X
العملاء,X
فيني,X
اخذ,X
الفاتورة,X
حقي,X
عندكوا,X
مقبلات,MenuName
ايه,X
بدي,X
شوف,X
الطلبات,X
تبعي,X
من,X
الاول,X
ايه,X
الخطوة,X
الي,X
بعد,X
كدا,X
لكن,X
بدي,X
ضيف,X
العنوان,X
اريدك,X
تتابع,X
معاي,X
تفاصيل,X
طلبي,X
اذا,X
بدك,X
تساعدني,X
بشي,X
ابي,X
اختار,X
اللغة,X
العربية,Language
من,X
فضلك,X
عايز,X
الغي,X
وجبة,ItemName
العائلة,ItemName
فيك,X
تفرجيني,X
المنيو,X
اذا,X
بتريد,X
عايزة,X
انتقل,X
للمرحلة,X
التالية,X
بدياك,X
تساعدني,X
بشي,X
شوفلي,X
الاوردر,X
فين,X
دلوقتي,X
بغيت,X
اغير,X
عنوان,X
المنزل,X
خليني,X
اغير,X
العنوان,X
لو,X
سمحت,X
بعد,X
اذنك,X
مش,X
عارفة,X
اغير,X
رقمي,X
اتحدث,X
بالعربية,Language
اعرض,X
لي,X
وجبتي,X
المفضلة,X
ايه,X
تاني,X
محتاجة,X
3,itemnumber
ساندوشات,ItemName
شاورما,ItemName
وسط,ItemSize
راح,X
زود,X
الهابي,ItemName
ميل,ItemName
اديني,X
حجم,X
صغير,ItemSize
بدي,X
شوف,X
منيو,X
وجبات,X
الاطفال,X
بماكدونالدز,X
اذا,X
بتريد,X
اريد,X
تتبع,X
الطلبات,X
فيني,X
حدث,X
رقم,X
الموبايل,X
بليز,X
حابب,X
اشوف,X
منيو,X
الحلويات,MenuName
ابي,X
الغي,X
هالعنوان,X
فيك,X
تساعدنى,X
عاوز,X
احاسب,X
بدي,X
شوف,X
الكارت,X
تبعي,X
ابي,X
3,itemnumber
صمونات,ItemName
دياي,ItemName
دوارية,ItemSize
زود,X
وجبة,ItemName
كوردن,ItemName
بلو,ItemName
فيك,X
تغيرلي,X
اللغة,X
للعربي,Language
ممكن,X
اغير,X
رقم,X
التليفون,X
كنت,X
عايزة,X
اضيف,X
عنوان,X
منزلي,X
يعيشك,X
بوت,X
فيني,X
احدد,X
عنوان,X
البيت,X
فيني,X
غير,X
رقم,X
الموبايل,X
الى,X
01147236465,phone
اذا,X
بتريد,X
الاوردر,X
فين,X
دلوقتي,X
اعرض,X
لي,X
الاوردرات,X
القديمة,X
ابعتلي,X
منيو,X
جاد,X
الحصري,X
01547869351,phone
هذا,X
الرقم,X
الجديد,X
حقى,X
غيره,X
مكان,X
الرقم,X
القديم,X
من,X
فضلك,X
كيفاش,X
احذف,X
رقم,X
الموبايل,X
بغيت,X
انتقل,X
للخطوة,X
التالية,X
احتاج,X
ان,X
اطلع,X
على,X
القائمة,X
المفضلة,X
كنت,X
عايز,X
اغير,X
رقم,X
تليفوني,X
فرجيني,X
ركن,X
المعجنات,MenuName
بليز,X
غيرلي,X
العنوان,X
المسجل,X
عايز,X
اضيف,X
فرخة,ItemName
مشوية,ItemName
من,Exclude
دون,Exclude
ليمون,Topping_Exclude
عايز,X
3,itemnumber
بيتزا,ItemName
بيبروني,ItemName
حجم,X
متوسط,ItemSize
كنت,X
عايزه,X
الحجم,X
الوسط,ItemSize
فيني,X
احذف,X
العنوان,X
اذا,X
بتريد,X
عايز,X
اشوف,X
منيو,X
كينج,X
بيتزا,X
عايز,X
الشيك,X
من,X
فضلك,X
ابا,X
الهابي,ItemName
ميل,ItemName
نصف,X
سوا,X
ابغى,X
اتطلع,X
على,X
طلباتي,X
المسجلة,X
هاطلب,X
عصير,ItemName
برتقال,ItemName
ثقثقثقثقصرؤ,X
هلأ,X
بدي,X
الغي,X
وجبة,ItemName
السوبر,ItemName
ستار,ItemName
اقدر,X
اروح,X
على,X
القائمة,X
الرئيسية,X
اقدر,X
اخد,X
الفاتورة,X
محل,X
سكني,X
اريد,X
الذهاب,X
الى,X
قائمة,X
تغيير,X
البيانات,X
يعطيك,X
العافية,X
شنهو,X
طريقة,X
تغيير,X
الجوال,X
الحساب,X
حضرتك,X
ممكن,X
تعطيني,X
المنيو,X
لو,X
سمحت,X
خدلي,X
الاوردر,X
ده,X
3,itemnumber
بيتزا,ItemName
بيبروني,ItemName
مع,Include
باكت,Topping_Include
فرايز,Topping_Include
كبير,ItemSize
ياليت,X
تزودني,X
بالمنيو,X
مساء,X
الخير,X
جيبلي,X
2,itemnumber
ساندوتش,ItemName
برجر,ItemName
كبير,ItemSize
مع,Include
بيبسي,Topping_Include
و,X
اطلبلي,X
كمان,X
3,itemnumber
بيف,ItemName
برجر,ItemName
وسط,ItemSize
بدي,X
تابع,X
باللغة,X
الفرنسية,Language
اذا,X
بتريد,X
فيك,X
تبعتلي,X
منيو,X
المشروبات,X
في,X
اريجاتو,X
الثاني,X
اديني,X
الشيك,X
من,X
فضلك,X
وينه,X
الاوردر,X
3058,OrderNumber
الحين,X
الافيك,X
العنوان,X
الجديد,X
كنت,X
حابب,X
اغير,X
لغة,X
التواصل,X
الى,X
الانجليزية,Language
ماني,Exclude
عايز,Exclude
بصل,Topping_Exclude
فيني,X
انتقل,X
للمرحلة,X
الأخيرة,X
بدياك,X
تعرفنى,X
وينه,X
اوردرى,X
الان,X
ازاي,X
بعمل,X
الاوردر,X
من,X
فضلك,X
هختار,Include
الخضار,Topping_Include
مش,Exclude
البطاطس,Topping_Exclude
عايزة,X
اشيل,X
عنوان,X
بيتي,X
ممكن,X
اتابع,X
الاوردر,X
وصل,X
لحد,X
فين,X
ابغى,X
مساعدة,X
عايزة,X
اسألك,X
على,X
حاجة,X
عايز,X
اتحدث,X
بلغة,X
اخرى,X
وسط,ItemSize
ممكن,X
ادفع,X
الحساب,X
بلكي,X
تعطيني,X
المنيو,X
عايزة,X
الحجم,X
الكبير,ItemSize
من,X
فضلك,X
عايز,X
اشوف,X
منيو,X
الفطار,X
فى,X
سانتوس,X
فيني,X
غير,X
اللغة,X
الى,X
العربية,Language
فيه,X
مشكلة,X
صارت,X
معي,X
ابغا,X
اراجع,X
الطلبات,X
حقى,X
ابا,X
شوف,X
منيو,X
وجبات,X
الاطفال,X
بماكدونالدز,X
ريسبيسبق,X
خنللاسي,X
راح,X
استلمه,X
بقديش,X
وقت,X
حابب,X
اتحدث,X
باللغة,X
العربية,Language
ايه,X
العروض,X
الجديدة,X
ممكن,X
توريني,X
الاكل,X
الي,X
طلبتوا,X
قبل,X
كدا,X
وقتاش,X
بيوصل,X
الأوردر,X
ارسلي,X
اجمال,X
الطلب,X
حقي,X
رايد,X
منك,X
تبدل,X
لى,X
رقم,X
هاتفى,X
للرقم,X
الجديد,X
98473555,phone
عايز,X
فطيرة,ItemName
مكس,ItemName
جبن,ItemName
لو,X
سمحت,X
تبعتلي,X
الحساب,X
عايز,X
ارجع,X
للقائمة,X
الرئيسية,X
ارسل,X
لي,X
المنيو,X
من,X
فضلك,X
فيني,X
اتطلع,X
عالأكل,X
يلي,X
طلبته,X
من,X
قبل,X
ابا,X
الغي,X
وجبة,ItemName
التوفير,ItemName
داير,X
اتحدث,X
باللغة,X
الانجليزية,Language
عايز,X
اضيف,X
عنواني,X
فرجيني,X
منيو,X
الفطار,X
بماكدونالدز,X
اذا,X
بدك,X
عايز,X
اتابع,X
الاوردر,X
لو,X
في,X
مجال,X
تعدلي,X
رقم,X
الموبايل,X
المتسجل,X
عندكوا,X
ابى,X
اختار,X
رقم,X
اثنين,X
فرجيني,X
الاوردرات,X
يلي,X
طلبتها,X
من,X
قبل,X
بدي,X
اطلب,X
باستا,ItemName
اذا,X
بتريد,X
فيني,X
اطلع,X
بالكارت,X
ممكن,X
توريني,X
الطلبات,X
المفضلة,X
عايز,X
اعرف,X
الاوردر,X
رقم,X
98686,OrderNumber
موصلش,X
ليه,X
اللى,X
الان,X
اعرض,X
لي,X
الاوردرات,X
السابقة,X
ابغى,X
شوف,X
منيو,X
السلطات,X
عايز,X
اشوف,X
الاوردر,X
من,X
جديد,X
بييروني,X
ابا,X
اتحدث,X
انقليزي,Language
كده,X
الفاتورة,X
عملت,X
كام,X
عايزة,X
ارسل,X
عنوان,X
البيت,X
كنت,X
عايز,X
القائمة,X
الرئيسية,X
الرلاا,X
عللاى,X
فيرستي5ة,X
بدي,X
سوي,X
فاتورتي,X
علبة,X
كبيرة,ItemSize
عايزة,X
اشوف,X
الطلبات,X
المسجلة,X
بدي,X
اطلب,X
وجبة,ItemName
ليتل,ItemName
تيستي,ItemName
اذا,X
بتريد,X
كان,X
بدي,X
اعطيك,X
العنوان,X
وريني,X
الاوردرات,X
الي,X
طلبتها,X
قبل,X
كدا,X
عندي,X
طلب,X
محتاج,X
3,itemnumber
بيتزا,ItemName
خضروات,ItemName
حجم,X
متوسط,ItemSize
هلأ,X
بدي,X
اتحدث,X
مع,X
انسان,X
خليني,X
اتابع,X
الأوردر,X
وصل,X
لحد,X
فين,X
ممكن,X
استخدم,X
رقم,X
مختلف,X
هولا,X
فيني,X
شوف,X
منيو,X
العصائر,X
بستاربكس,X
زودلي,X
على,X
الاوردر,X
2,itemnumber
ساندوتش,ItemName
فراخ,ItemName
عايز,X
ممثل,X
خدمة,X
عملاء,X
ممكن,X
استرجع,X
الطلبات,X
المسجلة,X
عايزة,X
اشوف,X
الطلبات,X
تاني,X
لو,X
سمحت,X
فيني,X
شوف,X
قائمة,X
السندوتشات,MenuName
بليز,X
من,Exclude
غير,Exclude
بصل,Topping_Exclude
ابعتلي,X
الشيك,X
3,itemnumber
وجبات,PredefinedMealName
تربل,PredefinedMealName
بوكس,PredefinedMealName
و,X
زود,Include
اونيون,Topping_Include
رينجز,Topping_Include
عايز,X
ارجع,X
لقائمة,X
تغيير,X
البيانات,X
ممكن,X
تخليني,X
اشوف,X
منيو,X
الساندوتشات,X
في,X
هارديز,X
عايز,X
خطواط,X
اضافة,X
العنوان,X
ممكن,X
اشوف,X
الاوردر,X
السابق,X
برقم,X
645,OrderNumber
انا,X
بدي,X
شوف,X
الاوردرات,X
السابقة,X
كان,X
بدي,X
اضيف,X
عنواني,X
عايز,X
اعدل,X
العنوان,X
من,X
فضلك,X
وريني,X
الاوردرات,X
السابقة,X
فيك,X
تفرجيني,X
القائمة,X
الرئيسية,X
داير,X
اشوف,X
الاشياء,X
الي,X
طلبتها,X
عايز,X
اعرف,X
شوية,X
حاجات,X
من,X
فضلك,X
عايزة,X
3,itemnumber
بيتزا,ItemName
بيبروني,ItemName
حجم,X
صغير,ItemSize
تشيف,X
حالك,X
ممكن,X
اختار,X
الرابع,X
هلأ,X
اذا,X
بدي,X
غير,X
رقمي,X
شو,X
بدي,X
اعمول,X
عايز,X
امسح,X
وجبة,ItemName
العائلة,ItemName
فيني,X
احاسبك,X
الحين,X
عايزة,X
حد,X
من,X
خدمة,X
العملاء,X
اغير,X
لغة,X
التواصل,X
منين,X
عايزة,X
لتحدث,X
بالانجليزية,Language
شيل,X
لي,X
العنوان,X
الاوردر,X
رقم,X
20975,OrderNumber
بقاله,X
ساعتين,X
موصلش,X
ايه,X
السبب,X
فرجيني,X
طعامي,X
المفضل,X
هيوصلني,X
الاوردر,X
امتى,X
انتقل,X
للخطوة,X
التالية,X
خاطرلى,X
التحدث,X
مع,X
شخص,X
من,X
خدمه,X
العملاء,X
فيني,X
اذهب,X
للمرحلة,X
التالية,X
عاوز,X
اكتب,X
عنوان,X
البيت,X
بدي,X
شوف,X
الطلبات,X
السابقة,X
قبل,X
خليني,X
اتكلم,X
مع,X
انسان,X
هييجي,X
في,X
قد,X
ايه,X
وينو,X
الاوردر,X
ديالي,X
كبير,ItemSize
بدي,X
غير,X
العنوان,X
راح,X
فرجيكم,X
عنواني,X
هاكل,X
2,itemnumber
برجر,ItemName
خليني,X
اتكلم,X
بالانجليزي,Language
بدي,X
سجل,X
عنوان,X
البيت,X
تبعي,X
بليز,X
بدي,X
اعمل,X
اوردر,X
اذا,X
بدك,X
تفرجيني,X
الطلبات,X
مرة,X
اخرى,X
ممكن,X
اتتيع,X
الاوردر,X
لو,X
سمحت,X
عطيني,X
2,itemnumber
ساندوتش,ItemName
برجر,ItemName
مع,Include
اكسترا,X
شيدر,Topping_Include
صوص,Topping_Include
داير,X
سجل,X
العنوان,X
عايز,X
اتواصل,X
مع,X
حد,X
من,X
خدمة,X
العملاء,X
عايز,X
اشيل,X
الماك,ItemName
دينار,ItemName
خليني,X
اغير,X
عنوان,X
البيت,X
المسجل,X
انا,X
عايز,X
اسال,X
على,X
حاجة,X
راح,X
اجولك,X
شو,X
صاير,X
وياي,X
شوصارلك,X
حجم,X
صغير,ItemSize
اهو,X
2,itemnumber
وجبة,ItemName
دويتو,ItemName
ابي,X
اتحدث,X
بالانجليزية,Language
فرجيني,X
الاوردرز,X
القديمة,X
هياخد,X
قد,X
ايه,X
خذني,X
لقائمة,X
تغيير,X
البيانات,X
لو,X
سمحت,X
1,itemnumber
برجر,ItemName
ساندوتش,ItemName
وينها,X
المشكله,X
فى,X
تاخير,X
الاوردر,X
حقى,X
من,X
فضلك,X
بدي,X
اجابة,X
عايز,X
اتابع,X
الاوردر,X
ده,X
451521,OrderNumber
لو,X
سمحت,X
1,itemnumber
برجر,ItemName
ساندوتش,ItemName
بدي,X
اتحدث,X
مع,X
حدا,X
يفهم,X
علي,X
قداي,X
بياخد,X
وقت,X
اقدر,X
اتابع,X
الاوردر,X
ممكن,X
اشوف,X
الأكل,X
الي,X
طلبتوا,X
قبل,X
كدا,X
بدى,X
اتطلع,X
على,X
قوائم,X
الفطار,X
فى,X
سانتوس,X
اقدر,X
اشوف,X
منيو,X
البيتزا,MenuName
الاوردر,X
برقم,X
401020,OrderNumber
موصلش,X
ليه,X
ممكن,X
اتتبعه,X
عايز,X
اخد,X
بيتزا,ItemName
بيبروني,ItemName
وسط,ItemSize
بلغني,X
تمن,X
الاوردر,X
لو,X
سمحت,X
فيك,X
تفرجيني,X
الكارت,X
كنت,X
بس,X
حابب,X
شوف,X
الاكل,X
المفضل,X
تبعي,X
سادة,X
لو,X
سمحت,X
اريد,X
اغير,X
رقمي,X
عندي,X
شي,X
استفسار,X
من,X
فضلك,X
ابعتلي,X
الشيك,X
وجبة,PredefinedMealName
الدويتو,PredefinedMealName
من,X
فضلك,X
لو,X
سمحت,X
عايز,X
اتواصل,X
مع,X
حد,X
من,X
خدمة,X
العملاء,X
اعرض,X
لي,X
الطلبات,X
المسجلة,X
كنت,X
عايز,X
اضيف,X
عنوان,X
منزلي,X
متحخلالات,X
بابلا,X
عاوز,X
اطلب,X
3,itemnumber
ساندوتشات,ItemName
شاورمة,ItemName
فراخ,ItemName
وضيف,Include
تومية,Topping_Include
فيك,X
تجيبلي,X
الحجم,X
الكبير,ItemSize
بديانى,X
اضع,X
هذا,X
الرقم,X
201504806,phone
كرقم,X
اساسي,X
لي,X
ممكن,X
اشوف,X
الطلبات,X
الي,X
فاتت,X
احضرلي,X
طبق,ItemName
مكرونة,ItemName
مع,Include
الصوص,Topping_Include
الابيض,Topping_Include
داير,X
على,X
خاطرى,X
القى,X
نظره,X
على,X
الى,X
طلبته,X
منك,X
سوف,X
اقوم,X
بتبديل,X
رقم,X
الهاتف,X
عايزة,X
اعرف,X
الحساب,X
عمل,X
كام,X
ممكن,X
اطلب,X
حاجة,X
فيك,X
تعرضلي,X
منيو,X
المشاوي,MenuName
عايز,X
اسجل,X
عنوان,X
المنزل,X
بدي,X
استبدل,X
عنواني,X
داير,X
اتحدث,X
مع,X
حدا,X
من,X
خدمة,X
العملا,X
فرنساوي,X
جيبلي,X
2,itemnumber
طبق,ItemName
ورق,ItemName
عنب,ItemName
كان,X
بدي,X
مساعدة,X
عايز,X
الغي,X
العنوان,X
المسجل,X
غيرت,X
نمرتي,X
منفضلك,X
غير,X
لى,X
مكان,X
بيتى,X
بدياه,X
كبير,ItemSize
قداي,X
بياخد,X
الأوردر,X
عايزة,X
ازود,X
وجبة,ItemName
الدويتو,ItemName
بعد,X
اذنك,X
عايزة,X
حجمهم,X
كبار,ItemSize
هاتلي,X
واحد,itemnumber
بيج,ItemSize
